#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 273158:4915 | 05/11/16 20:42:35 | 1278 | 1278 | 53364830.943   | 50096647.040  |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 16891613.445   | 16204774.833  |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 6922515.355    | 6549429.314   |
| 273403:4924 | 05/14/16 03:05:28 | 53   | 53   | 1909314.196    | 1813393.157   |
| 273404:4924 | 05/14/16 03:31:50 | 18   | 18   | 643895.387     | 608061.760    |
| 273405:4924 | 05/14/16 03:42:33 | 24   | 24   | 855396.886     | 796232.508    |
| 273406:4924 | 05/14/16 03:56:09 | 112  | 112  | 3929706.664    | 3751947.140   |
| 273408:4924 | 05/14/16 04:52:04 | 6    | 6    | 208018.116     | 179910.686    |
| 273409:4924 | 05/14/16 04:56:42 | 309  | 309  | 10483730.614   | 9417038.397   |
| 273410:4924 | 05/14/16 06:59:49 | 90   | 90   | 2968451.701    | 2727800.546   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 789018.020     | 738158.247    |
| 273425:4925 | 05/14/16 11:17:57 | 671  | 671  | 27738881.888   | 26373888.149  |
| 273446:4926 | 05/14/16 20:06:56 | 33   | 33   | 2236442.602    | 2092097.833   |
| 273447:4926 | 05/14/16 20:26:10 | 411  | 411  | 26634491.410   | 25359993.588  |
| 273448:4926 | 05/14/16 23:11:52 | 391  | 391  | 23442375.029   | 22305021.416  |
| 273449:4926 | 05/15/16 01:48:10 | 214  | 214  | 12152061.308   | 11594442.525  |
| 273450:4926 | 05/15/16 03:19:38 | 643  | 643  | 33423173.661   | 32005031.826  |
| 273492:4930 | 05/16/16 09:07:34 | 265  | 265  | 11996138.185   | 11482895.645  |
| 273493:4930 | 05/16/16 10:54:39 | 233  | 233  | 10351136.199   | 9945891.816   |
| 273494:4930 | 05/16/16 12:28:42 | 192  | 192  | 8216537.842    | 7951505.686   |
| 273502:4935 | 05/16/16 20:00:07 | 989  | 989  | 45953231.302   | 44252524.884  |
| 273503:4935 | 05/17/16 02:31:27 | 598  | 598  | 24850229.152   | 24085300.870  |
| 273554:4942 | 05/18/16 05:30:44 | 361  | 361  | 26029202.799   | 24962164.166  |
| 273555:4942 | 05/18/16 07:55:51 | 173  | 173  | 11795967.242   | 11414840.443  |
| 273725:4947 | 05/20/16 02:37:26 | 2462 | 2462 | 155073970.481  | 149907234.686 |
