#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 278820:5199 | 08/14/16 11:00:52 | 1517 | 1517 | 299388994.560  | 287580218.168 |
| 278822:5199 | 08/14/16 21:52:48 | 1627 | 1627 | 195829703.522  | 189724216.453 |
| 278873:5205 | 08/15/16 23:25:46 | 60   | 60   | 11395453.151   | 2012170.727   |
| 278874:5205 | 08/15/16 23:51:54 | 477  | 477  | 87347306.763   | 82142606.265  |
| 278875:5205 | 08/16/16 03:01:21 | 833  | 833  | 120442190.682  | 115088005.081 |
| 278923:5206 | 08/16/16 12:16:33 | 413  | 413  | 103255455.413  | 98881487.089  |
| 278957:5209 | 08/16/16 21:31:37 | 149  | 149  | 37843041.606   | 36288211.029  |
| 278962:5210 | 08/17/16 01:08:32 | 341  | 341  | 82193132.358   | 76386869.651  |
| 278963:5210 | 08/17/16 03:24:58 | 174  | 174  | 38698939.593   | 37207038.442  |
| 278969:5211 | 08/17/16 07:16:53 | 1386 | 1386 | 296646623.710  | 283746786.695 |
| 278975:5211 | 08/17/16 16:23:17 | 848  | 848  | 125599155.050  | 119935613.725 |
| 278976:5211 | 08/17/16 21:58:17 | 20   | 20   | 2645822.298    | 2550279.109   |
| 278986:5213 | 08/18/16 04:03:00 | 129  | 129  | 33702920.547   | 31606691.037  |
| 279024:5219 | 08/18/16 22:31:54 | 301  | 301  | 52338495.535   | 49722296.932  |
| 279029:5219 | 08/19/16 02:19:42 | 260  | 260  | 39991591.257   | 38016732.441  |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 23618439.782   | 22701025.325  |
| 279080:5223 | 08/19/16 22:42:51 | 157  | 157  | 13094260.807   | 12624985.386  |
| 279115:5229 | 08/20/16 22:08:10 | 407  | 407  | 87971980.552   | 84666662.270  |
| 279116:5229 | 08/21/16 01:36:04 | 448  | 448  | 94868042.911   | 91044986.125  |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 6484905.947    | 6139568.949   |
| 279588:5251 | 08/25/16 21:08:12 | 1160 | 1160 | 237990796.034  | 229610033.217 |
| 279653:5253 | 08/26/16 14:05:53 | 181  | 181  | 45217161.887   | 43557304.258  |
| 279654:5253 | 08/26/16 15:21:58 | 1245 | 1245 | 249207393.337  | 241160970.767 |
| 279656:5253 | 08/26/16 23:49:41 | 43   | 43   | 6721936.030    | 5674487.830   |
| 279658:5253 | 08/27/16 01:35:20 | 712  | 712  | 95660744.850   | 93009565.066  |
| 279667:5254 | 08/27/16 09:08:24 | 966  | 966  | 216621211.955  | 209474853.158 |
| 279681:5256 | 08/27/16 21:57:03 | 28   | 28   | 7288750.683    | 6676736.837   |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 8620774.486    | 7779786.051   |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 6700046.445    | 6345290.216   |
| 279684:5256 | 08/27/16 22:47:00 | 22   | 22   | 5544120.275    | 5283743.972   |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 50051773.057   | 48458594.038  |
| 279691:5257 | 08/28/16 03:41:27 | 43   | 43   | 10247051.708   | 9628620.611   |
| 279694:5257 | 08/28/16 04:03:10 | 2235 | 2235 | 416133732.919  | 404202553.537 |
| 279715:5258 | 08/28/16 22:01:35 | 577  | 577  | 133906542.399  | 128527422.232 |
| 279716:5258 | 08/29/16 02:17:07 | 1638 | 1638 | 263055014.902  | 256276237.424 |
| 279760:5261 | 08/29/16 20:21:24 | 655  | 655  | 159165845.793  | 154041156.169 |
| 279766:5261 | 08/30/16 01:08:37 | 1689 | 1689 | 276198945.730  | 268295316.970 |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 90978122.689   | 88962902.858  |
