#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 281613:5331 | 09/25/16 06:03:33 | 795  | 795  | 11059152.446   | 9489970.809   |
| 281639:5338 | 09/26/16 07:45:15 | 132  | 132  | 20553170.477   | 19289385.692  |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 41324055.577   | 39576657.986  |
| 281693:5339 | 09/26/16 16:57:02 | 2191 | 2191 | 391960060.705  | 379061163.791 |
| 281707:5340 | 09/27/16 09:47:30 | 950  | 950  | 224843065.617  | 215572991.090 |
| 281726:5340 | 09/27/16 16:14:38 | 288  | 288  | 51187657.956   | 49449116.094  |
| 281727:5340 | 09/27/16 18:10:04 | 1605 | 1605 | 206264092.306  | 200437252.780 |
| 281797:5345 | 09/28/16 12:04:49 | 2052 | 2052 | 412327441.787  | 397535330.468 |
| 281975:5351 | 09/30/16 03:23:13 | 215  | 215  | 58650350.312   | 54084407.319  |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 352339912.429  | 338891186.241 |
| 282033:5352 | 09/30/16 21:30:44 | 36   | 36   | 8985874.877    | 8276293.928   |
| 282034:5352 | 09/30/16 21:48:05 | 33   | 33   | 9409445.228    | 8690099.855   |
| 282035:5352 | 09/30/16 22:03:02 | 40   | 40   | 11061239.975   | 9499631.628   |
| 282037:5352 | 09/30/16 22:24:15 | 1861 | 1861 | 345245747.081  | 331262304.529 |
| 282092:5355 | 10/02/16 13:49:38 | 1784 | 1784 | 306316003.512  | 296432702.680 |
| 282708:5391 | 10/09/16 08:39:31 | 8    | 8    | 2545670.154    | 2158690.756   |
| 282710:5391 | 10/09/16 08:49:08 | 3    | 3    | 933947.592     | 352544.782    |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 17669294.142   | 16825574.722  |
| 282730:5393 | 10/09/16 12:41:53 | 76   | 76   | 22783173.549   | 20831308.954  |
| 282731:5393 | 10/09/16 13:13:59 | 172  | 172  | 51040421.873   | 48194774.058  |
| 282732:5393 | 10/09/16 14:23:16 | 69   | 69   | 19015389.602   | 18268678.057  |
| 282733:5393 | 10/09/16 14:52:27 | 177  | 177  | 45301976.570   | 43581029.751  |
| 282734:5393 | 10/09/16 16:03:11 | 327  | 327  | 73726406.831   | 71045057.944  |
| 282735:5393 | 10/09/16 18:12:40 | 1819 | 1819 | 277761049.153  | 269943712.143 |
| 282800:5394 | 10/10/16 14:17:15 | 377  | 377  | 98206987.102   | 94509672.197  |
| 282807:5394 | 10/10/16 16:48:03 | 326  | 326  | 74965568.577   | 71034957.361  |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 284758912.814  | 276016667.912 |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 24679968.169   | 23688094.907  |
| 282917:5401 | 10/12/16 01:27:07 | 74   | 74   | 18974273.252   | 18031742.610  |
| 282918:5401 | 10/12/16 02:00:23 | 51   | 51   | 13486710.328   | 12930662.938  |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 59447255.925   | 57321275.712  |
| 282922:5401 | 10/12/16 05:09:33 | 131  | 131  | 27345787.132   | 25500162.816  |
| 282923:5401 | 10/12/16 06:04:20 | 218  | 218  | 42216272.962   | 40389402.823  |
| 283042:5405 | 10/12/16 22:38:59 | 6    | 6    | 1416790.429    | 1255067.005   |
| 283043:5405 | 10/12/16 22:44:17 | 517  | 517  | 119369555.206  | 114263515.730 |
| 283049:5406 | 10/13/16 05:05:17 | 12   | 12   | 3900691.753    | 3136916.812   |
| 283050:5406 | 10/13/16 05:13:25 | 212  | 212  | 61844998.934   | 57737136.472  |
| 283052:5406 | 10/13/16 06:45:20 | 111  | 111  | 30082485.182   | 28666098.025  |
| 283059:5406 | 10/13/16 08:00:56 | 449  | 449  | 102654539.571  | 98698750.838  |
| 283270:5416 | 10/14/16 18:39:48 | 1833 | 1833 | 406475699.336  | 393007456.102 |
| 283283:5416 | 10/15/16 06:37:09 | 1744 | 1744 | 203949161.634  | 198991468.257 |
| 283305:5418 | 10/15/16 21:41:13 | 7    | 7    | 2269218.724    | 1467050.366   |
| 283306:5418 | 10/15/16 21:46:57 | 289  | 289  | 83198569.472   | 79680308.925  |
| 283307:5418 | 10/15/16 23:43:44 | 454  | 454  | 107520141.595  | 102934510.356 |
| 283308:5418 | 10/16/16 02:46:26 | 945  | 945  | 168979572.711  | 162670049.411 |
| 283353:5421 | 10/16/16 19:55:17 | 743  | 743  | 203709139.598  | 196566602.376 |
| 283358:5421 | 10/17/16 00:50:20 | 980  | 980  | 183703883.942  | 174497334.263 |
| 283359:5421 | 10/17/16 07:15:19 | 428  | 428  | 62443918.083   | 60964734.003  |
| 283407:5423 | 10/17/16 21:54:07 | 33   | 33   | 11520228.760   | 10341095.209  |
| 283408:5423 | 10/17/16 22:10:43 | 2344 | 2344 | 478448062.968  | 462106884.060 |
| 283416:5423 | 10/18/16 15:16:10 | 195  | 195  | 21901418.185   | 21298017.661  |
| 283453:5424 | 10/18/16 19:07:49 | 455  | 455  | 132325792.578  | 126772079.721 |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 346160.493     | 32391.264     |
| 283478:5427 | 10/19/16 04:13:19 | 874  | 874  | 223380754.498  | 215026030.370 |
| 283548:5433 | 10/19/16 22:58:39 | 144  | 144  | 28009157.167   | 27087529.469  |
| 283680:5437 | 10/21/16 03:17:52 | 81   | 81   | 20369320.535   | 19576914.513  |
| 283681:5437 | 10/21/16 03:56:07 | 17   | 17   | 4149262.353    | 3940845.059   |
| 283682:5437 | 10/21/16 04:08:38 | 384  | 384  | 84879428.424   | 82320724.926  |
| 283685:5437 | 10/21/16 06:39:38 | 314  | 314  | 21623013.700   | 20509144.873  |
| 283820:5439 | 10/21/16 20:48:18 | 1482 | 1482 | 273885964.635  | 264965547.719 |
| 283830:5439 | 10/22/16 06:27:26 | 722  | 722  | 106468881.961  | 103572645.730 |
| 283834:5439 | 10/22/16 11:11:28 | 81   | 81   | 10333507.844   | 9076818.961   |
| 283835:5439 | 10/22/16 11:45:28 | 111  | 111  | 13061763.239   | 11378246.556  |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 280778312.595  | 271419155.663 |
| 283876:5442 | 10/23/16 03:38:50 | 657  | 657  | 176283589.354  | 169705929.632 |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 256967764.305  | 248939732.929 |
| 283884:5443 | 10/23/16 23:44:05 | 404  | 404  | 110261615.729  | 105347508.501 |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | 1723 | 302435512.963  | 293868269.282 |
| 283933:5446 | 10/24/16 18:32:31 | 145  | 145  | 43954864.794   | 41942549.761  |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 284954050.831  | 274469661.593 |
| 283946:5448 | 10/25/16 07:30:41 | 1377 | 1377 | 317562957.573  | 305723477.635 |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 60338975.651   | 58491883.280  |
| 284006:5450 | 10/26/16 01:53:26 | 318  | 318  | 60170527.463   | 58101527.846  |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 49329943.048   | 48024950.660  |
| 284025:5451 | 10/26/16 08:56:43 | 48   | 48   | 13024173.710   | 12562234.239  |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 32660552.629   | 30777603.169  |
| 284035:5451 | 10/26/16 10:04:52 | 360  | 360  | 92363197.443   | 89318144.465  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 77   | 46218 | 46218 | 8859693457.607    | 8529407049.025   |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
