mA        ma        mchi        tanb        sinp        initial state        CS(pb)        Uncertainty
1000        200        10        35        0.7              pp              3.530e-01         2.0e-02
1000        300        10        35        0.7              pp              1.668e-01         7.3e-03
1000        400        10        35        0.7              pp              8.425e-02         4.5e-03
1000        500        10        35        0.7              pp              3.817e-02         2.6e-03
1000        600        10        35        0.7              pp              2.332e-02         1.2e-03
1000        700        10        35        0.7              pp              1.344e-02         6.2e-04
1000        800        10        35        0.7              pp              7.667e-03         4.6e-04
1000        900        10        35        0.7              pp              4.551e-03         2.3e-04
1200        1000        10        35        0.7              pp              2.901e-03         1.4e-04
1200        100        10        35        0.7              pp              6.611e-01         3.2e-02
1200        200        10        35        0.7              pp              3.253e-01         1.8e-02
1200        300        10        35        0.7              pp              1.482e-01         8.4e-03
1200        400        10        35        0.7              pp              7.898e-02         3.9e-03
1200        500        10        35        0.7              pp              4.024e-02         2.2e-03
1200        600        10        35        0.7              pp              2.689e-02         1.4e-03
1200        700        10        35        0.7              pp              1.233e-02         1.0e-03
1200        800        10        35        0.7              pp              7.396e-03         3.8e-04
1200        900        10        35        0.7              pp              5.290e-03         2.1e-04
200        100        10        35        0.7              pp              7.097e-01         3.8e-02
400        100        10        35        0.7              pp              7.079e-01         3.5e-02
400        200        10        35        0.7              pp              2.801e-01         1.8e-02
400        300        10        35        0.7              pp              1.814e-01         9.0e-03
600        100        10        35        0.7              pp              7.387e-01         3.8e-02
600        200        10        35        0.7              pp              3.411e-01         1.8e-02
600        300        10        35        0.7              pp              1.643e-01         8.1e-03
600        400        10        35        0.7              pp              8.546e-02         4.7e-03
600        500        10        35        0.7              pp              5.136e-02         2.2e-03
800        100        10        35        0.7              pp              6.967e-01         3.0e-02
800        200        10        35        0.7              pp              3.218e-01         1.8e-02
800        400        10        35        0.7              pp              8.438e-02         5.6e-03
800        500        10        35        0.7              pp              4.026e-02         1.8e-03
800        600        10        35        0.7              pp              2.593e-02         1.7e-03
800        700        10        35        0.7              pp              1.591e-02         7.7e-04
